"name","geoid","statefip","fipcode","latitude","longitude","population_count","male_count","female_count","white_count","black_count","native_american_count","asian_count","hawaiian_pacific_islander_count","other_count","two_or_more_race_count","not_hispanic_race_count","hispanic_race_count","median_household_income"
"Nevada","32","32","01779793",39.3310928,-116.6151469,"194944","1407735","1390901","1929661","235721","31393","214846","17942","246138","122935","2028083","770553","51847"
"Alabama","01","01","01779775",32.7396323,-86.8434593,"408374","2341093","2489527","3325464","1276544","23850","59599","2439","61078","81646","4637128","193492","43623"
"North Carolina","37","37","01027616",35.53971,-79.1308636,"738058","4795408","5049925","6839831","2115338","116143","244076","6244","292310","231391","8975425","869908","46868"
"Tennessee","47","47","01325873",35.8585639,-86.3493573,"494008","3167756","3331859","5059894","1091070","17802","102027","3323","96739","128760","6179525","320090","45219"
"Kansas","20","20","00481813",38.4985464,-98.3834298,"310764","1439862","1453125","2464566","168402","24022","75653","1796","63183","95365","2569769","323218","52205"
"Florida","12","12","00294478",28.4574302,-82.4091478,"1238048","9600009","10045763","14934702","3171108","54569","509085","11024","493202","472082","14985039","4660733","47507"
"California","06","06","01779778",37.1551773,-119.5434183,"2851991","19087135","19334329","23747013","2265387","287028","5261978","150370","4974791","1734897","23670778","14750686","61818"
"New Mexico","35","35","00897535",34.4346843,-106.1316181,"169773","1032414","1051703","1524911","43738","190528","28761","1276","226850","68053","1097145","986972","44963"
"South Carolina","45","45","01779799",33.8741769,-80.8542699,"352391","2322409","2455167","3210708","1315058","14966","66982","2588","73324","93950","4523484","254092","45483"
"Nebraska","31","31","01779792",41.5433014,-99.8118616,"239676","929606","939759","1647551","88195","16319","38066","1280","36359","41595","1683097","186268","52997"
"Mississippi","28","28","01779790",32.6864714,-89.6561377,"217193","1451723","1536358","1768174","1116457","12896","28900","409","25911","35334","2901574","86507","39665"
"Puerto Rico","72","72","01779808",18.217648,-66.4107992,"229404","1713860","1869213","2495997","301519","11775","10159","129","431443","332051","35785","3547288","19350"
"Texas","48","48","01779801",31.4347032,-99.2818238,"1773014","13171316","13367298","19874610","3152917","126493","1124011","21655","1585866","653062","16342247","10196367","53207"
"Missouri","29","29","01779791",38.35075,-92.4567826,"568479","2964003","3081445","4995527","697022","24951","106537","6161","67605","147645","5812402","233046","48173"
"West Virginia","54","54","01779805",38.6472854,-80.6183274,"161211","913631","937789","1732235","61367","2953","13485","625","4566","36189","1826012","25408","41751"
"Arkansas","05","05","00068085",34.8955256,-92.4446262,"248496","1451913","1506295","2307849","459748","18409","40336","6845","62484","62537","2754982","203226","41371"
"District of Columbia","11","11","01702382",38.9041031,-77.017229,"50637","306674","340810","260325","316447","2154","23822","250","27159","17327","581681","65803","70848"
"Louisiana","22","22","01629543",30.8634368,-91.7987173,"349630","2261156","2364097","2902538","1484363","27238","77818","1824","47595","83877","4406990","218263","45047"
"Illinois","17","17","01779784",40.1028754,-89.1526108,"1154529","6316899","6556862","9312771","1846108","28363","645642","3407","747933","289537","10750920","2122841","57574"
"Indiana","18","18","00448508",39.9030256,-86.2839503,"568832","3235263","3333382","5529201","603014","14793","121729","2285","152022","145601","6147439","421206","49255"
"Maryland","24","24","01714934",38.9466584,-76.6744939,"468715","2872643","3057895","3416107","1750916","15579","357616","2754","211914","175652","5396867","533671","74551"
